ID_Pedido,Fecha,Producto,Cantidad,Ciudad,Precio_Unitario
10001,2025-01-01,Mouse Inalámbrico,2.0,Guayaquil,$35
10002,2025-01-01,Auriculares Gamer,4.0,Loja,$120
10003,2025-01-01,Teclado Mecánico,3.0,Ambato,$85
10004,2025-01-01,Auriculares Gamer,5.0,Cuenca,$120
10005,2025-01-01,Auriculares Gamer,4.0,Guayaquil,$120
10006,2025-01-01,"Monitor 24""",3.0,Ambato,$300
10007,2025-01-01,Teclado Mecánico,3.0,Ambato,$85
10008,2025-01-01,Teclado Mecánico,1.0,Loja,$85
10009,2025-01-01,Teclado Mecánico,5.0,Manta,$85
10010,2025-01-01,Auriculares Gamer,1.0,Loja,$120
10011,2025-01-01,Mouse Inalámbrico,2.0,Manta,$35
10012,2025-01-01,Teclado Mecánico,1.0,Manta,$85
10013,2025-01-01,Hub USB-C,1.0,Guayaquil,$45
10014,2025-01-01,Auriculares Gamer,4.0,Guayaquil,$120
10015,2025-01-01,"Monitor 24""",3.0,Cuenca,$300
10016,2025-01-01,Mouse Inalámbrico,5.0,Manta,$35
10017,2025-01-01,Hub USB-C,1.0,Ambato,$45
10018,2025-01-01,Hub USB-C,5.0,Quito,$45
10019,2025-01-01,"Monitor 24""",1.0,Cuenca,$300
10020,2025-01-01,Mouse Inalámbrico,2.0,Guayaquil,$35
10021,2025-01-01,Auriculares Gamer,1.0,Loja,$120
10022,2025-01-01,Laptop,4.0,Cuenca,$1200
10023,2025-01-01,Mouse Inalámbrico,3.0,Cuenca,$35
10024,2025-01-01,"Monitor 24""",2.0,Cuenca,$300
10025,2025-01-02,Hub USB-C,1.0,Cuenca,$45
10026,2025-01-02,Auriculares Gamer,5.0,Quito,$120
10027,2025-01-02,Mouse Inalámbrico,2.0,Loja,$35
10028,2025-01-02,Laptop,2.0,Loja,$1200
10029,2025-01-02,Laptop,1.0,Loja,$1200
10030,2025-01-02,Teclado Mecánico,2.0,Manta,$85
10031,,Teclado Mecánico,5.0,Ambato,$85
10032,2025-01-02,"Monitor 24""",2.0,Loja,$300
10033,2025-01-02,Mouse Inalámbrico,5.0,Cuenca,$35
10034,2025-01-02,Mouse Inalámbrico,1.0,Cuenca,$35
10035,2025-01-02,Hub USB-C,3.0,Loja,$45
10036,2025-01-02,Hub USB-C,2.0,Loja,$45
10037,2025-01-02,Hub USB-C,3.0,Cuenca,$45
10038,2025-01-02,Teclado Mecánico,5.0,Manta,$85
10039,2025-01-02,Mouse Inalámbrico,2.0,Guayaquil,$35
10040,2025-01-02,Mouse Inalámbrico,4.0,Guayaquil,$35
10041,2025-01-02,Laptop,3.0,Loja,$1200
10042,2025-01-02,Teclado Mecánico,2.0,Quito,$85
10043,2025-01-02,Auriculares Gamer,3.0,Loja,$120
10044,2025-01-02,Teclado Mecánico,2.0,Loja,$85
10045,2025-01-02,Auriculares Gamer,1.0,Guayaquil,$120
10046,2025-01-02,Laptop,3.0,Cuenca,$1200
10047,2025-01-02,"Monitor 24""",4.0,Loja,$300
10048,2025-01-02,Mouse Inalámbrico,4.0,Cuenca,$35
10049,2025-01-03,Laptop,5.0,Cuenca,$1200
10050,2025-01-03,Mouse Inalámbrico,2.0,Quito,$35
10051,2025-01-03,Hub USB-C,3.0,Cuenca,$45
10052,2025-01-03,"Monitor 24""",5.0,Guayaquil,$300
10053,2025-01-03,"Monitor 24""",3.0,Manta,$300
10054,2025-01-03,Laptop,2.0,Manta,$1200
10055,2025-01-03,"Monitor 24""",4.0,Ambato,$300
10056,2025-01-03,Auriculares Gamer,1.0,Loja,$120
